"","Site","Time","Season","success","failure"
"1807","17C",15,"F",0,102
"1808","17C",15,"S",0,159
"1809","17C",16,"F",0,102
"1810","17C",16,"S",0,159
"1811","17C",17,"F",1,101
"1812","17C",17,"S",1,158
"1813","17C",18,"F",2,100
"1814","17C",18,"S",0,159
"1815","17C",19,"F",0,102
"1816","17C",19,"S",0,159
"1817","17C",20,"F",0,102
"1818","17C",20,"S",1,158
"1819","17C",21,"F",0,102
"1820","17C",21,"S",0,159
"1821","17C",22,"F",0,102
"1822","17C",22,"S",0,159
"1823","17C",23,"F",0,102
"1824","17C",23,"S",0,159
"1825","17D",0,"F",0,99
"1826","17D",0,"S",0,104
"1827","17D",1,"F",0,99
"1828","17D",1,"S",0,104
"1829","17D",2,"F",0,99
"1830","17D",2,"S",0,104
"1831","17D",3,"F",0,99
"1832","17D",3,"S",0,104
"1833","17D",4,"F",0,99
"1834","17D",4,"S",0,104
"1835","17D",5,"F",0,99
"1836","17D",5,"S",1,103
"1837","17D",6,"F",1,98
"1838","17D",6,"S",0,104
"1839","17D",7,"F",1,98
"1840","17D",7,"S",2,102
"1841","17D",8,"F",0,99
"1842","17D",8,"S",0,104
"1843","17D",9,"F",0,99
"1844","17D",9,"S",1,103
"1845","17D",10,"F",0,99
"1846","17D",10,"S",1,103
"1847","17D",11,"F",0,99
"1848","17D",11,"S",2,102
"1849","17D",12,"F",0,99
"1850","17D",12,"S",0,104
"1851","17D",13,"F",0,99
"1852","17D",13,"S",1,103
"1853","17D",14,"F",0,99
"1854","17D",14,"S",1,103
"1855","17D",15,"F",0,99
"1856","17D",15,"S",0,104
"1857","17D",16,"F",0,99
"1858","17D",16,"S",0,104
"1859","17D",17,"F",0,99
"1860","17D",17,"S",0,104
"1861","17D",18,"F",0,99
"1862","17D",18,"S",3,101
"1863","17D",19,"F",0,99
"1864","17D",19,"S",1,103
"1865","17D",20,"F",0,99
"1866","17D",20,"S",5,99
"1867","17D",21,"F",0,99
"1868","17D",21,"S",0,104
"1869","17D",22,"F",0,99
"1870","17D",22,"S",1,103
"1871","17D",23,"F",0,99
"1872","17D",23,"S",0,104
"1873","17E",0,"F",0,92
"1874","17E",0,"S",0,158
"1875","17E",1,"F",0,92
"1876","17E",1,"S",0,158
"1877","17E",2,"F",1,91
"1878","17E",2,"S",0,158
"1879","17E",3,"F",0,92
"1880","17E",3,"S",0,158
"1881","17E",4,"F",0,92
"1882","17E",4,"S",0,158
"1883","17E",5,"F",0,92
"1884","17E",5,"S",0,158
"1885","17E",6,"F",0,92
"1886","17E",6,"S",0,158
"1887","17E",7,"F",0,92
"1888","17E",7,"S",0,158
"1889","17E",8,"F",0,92
"1890","17E",8,"S",1,157
"1891","17E",9,"F",0,92
"1892","17E",9,"S",0,158
"1893","17E",10,"F",0,92
"1894","17E",10,"S",0,158
"1895","17E",11,"F",0,92
"1896","17E",11,"S",1,157
"1897","17E",12,"F",0,92
"1898","17E",12,"S",0,158
"1899","17E",13,"F",0,92
"1900","17E",13,"S",0,158
"1901","17E",14,"F",0,92
"1902","17E",14,"S",0,158
"1903","17E",15,"F",0,92
"1904","17E",15,"S",0,158
"1905","17E",16,"F",0,92
"1906","17E",16,"S",0,158
"1907","17E",17,"F",0,92
"1908","17E",17,"S",0,158
"1909","17E",18,"F",0,92
"1910","17E",18,"S",0,158
"1911","17E",19,"F",0,92
"1912","17E",19,"S",0,158
"1913","17E",20,"F",1,91
"1914","17E",20,"S",0,158
"1915","17E",21,"F",0,92
"1916","17E",21,"S",0,158
"1917","17E",22,"F",0,92
"1918","17E",22,"S",0,158
"1919","17E",23,"F",0,92
"1920","17E",23,"S",0,158
"1921","18A",0,"F",0,56
"1922","18A",0,"S",0,153
"1923","18A",1,"F",0,56
"1924","18A",1,"S",0,153
"1925","18A",2,"F",0,56
"1926","18A",2,"S",0,153
"1927","18A",3,"F",0,56
"1928","18A",3,"S",0,153
"1929","18A",4,"F",1,55
"1930","18A",4,"S",0,153
"1931","18A",5,"F",0,56
"1932","18A",5,"S",0,153
"1933","18A",6,"F",1,55
"1934","18A",6,"S",0,153
"1935","18A",7,"F",0,56
"1936","18A",7,"S",0,153
"1937","18A",8,"F",0,56
"1938","18A",8,"S",0,153
"1939","18A",9,"F",0,56
"1940","18A",9,"S",0,153
"1941","18A",10,"F",1,55
"1942","18A",10,"S",0,153
"1943","18A",11,"F",0,56
"1944","18A",11,"S",1,152
"1945","18A",12,"F",0,56
"1946","18A",12,"S",0,153
"1947","18A",13,"F",0,56
"1948","18A",13,"S",0,153
"1949","18A",14,"F",0,56
"1950","18A",14,"S",0,153
"1951","18A",15,"F",0,56
"1952","18A",15,"S",0,153
"1953","18A",16,"F",0,56
"1954","18A",16,"S",0,153
"1955","18A",17,"F",0,56
"1956","18A",17,"S",0,153
"1957","18A",18,"F",0,56
"1958","18A",18,"S",1,152
"1959","18A",19,"F",0,56
"1960","18A",19,"S",1,152
"1961","18A",20,"F",0,56
"1962","18A",20,"S",0,153
"1963","18A",21,"F",1,55
"1964","18A",21,"S",0,153
"1965","18A",22,"F",0,56
"1966","18A",22,"S",0,153
"1967","18A",23,"F",0,56
"1968","18A",23,"S",0,153
"1969","18B",0,"F",0,94
"1970","18B",0,"S",0,152
"1971","18B",1,"F",0,94
"1972","18B",1,"S",0,152
"1973","18B",2,"F",0,94
"1974","18B",2,"S",0,152
"1975","18B",3,"F",0,94
"1976","18B",3,"S",0,152
"1977","18B",4,"F",0,94
"1978","18B",4,"S",0,152
"1979","18B",5,"F",0,94
"1980","18B",5,"S",0,152
"1981","18B",6,"F",0,94
"1982","18B",6,"S",0,152
"1983","18B",7,"F",0,94
"1984","18B",7,"S",1,151
"1985","18B",8,"F",0,94
"1986","18B",8,"S",0,152
"1987","18B",9,"F",0,94
"1988","18B",9,"S",0,152
"1989","18B",10,"F",0,94
"1990","18B",10,"S",0,152
"1991","18B",11,"F",0,94
"1992","18B",11,"S",0,152
"1993","18B",12,"F",0,94
"1994","18B",12,"S",0,152
"1995","18B",13,"F",0,94
"1996","18B",13,"S",0,152
"1997","18B",14,"F",0,94
"1998","18B",14,"S",0,152
"1999","18B",15,"F",0,94
"2000","18B",15,"S",0,152
"2001","18B",16,"F",0,94
"2002","18B",16,"S",1,151
"2003","18B",17,"F",0,94
"2004","18B",17,"S",2,150
"2005","18B",18,"F",0,94
"2006","18B",18,"S",0,152
"2007","18B",19,"F",0,94
"2008","18B",19,"S",0,152
"2009","18B",20,"F",0,94
"2010","18B",20,"S",1,151
"2011","18B",21,"F",0,94
"2012","18B",21,"S",0,152
"2013","18B",22,"F",0,94
"2014","18B",22,"S",0,152
"2015","18B",23,"F",0,94
"2016","18B",23,"S",0,152
"2017","18C",0,"F",0,76
"2018","18C",0,"S",0,148
"2019","18C",1,"F",0,76
"2020","18C",1,"S",0,148
"2021","18C",2,"F",0,76
"2022","18C",2,"S",0,148
"2023","18C",3,"F",0,76
"2024","18C",3,"S",0,148
"2025","18C",4,"F",0,76
"2026","18C",4,"S",0,148
"2027","18C",5,"F",0,76
"2028","18C",5,"S",0,148
"2029","18C",6,"F",0,76
"2030","18C",6,"S",2,146
"2031","18C",7,"F",0,76
"2032","18C",7,"S",0,148
"2033","18C",8,"F",0,76
"2034","18C",8,"S",0,148
"2035","18C",9,"F",0,76
"2036","18C",9,"S",0,148
"2037","18C",10,"F",0,76
"2038","18C",10,"S",3,145
"2039","18C",11,"F",0,76
"2040","18C",11,"S",2,146
"2041","18C",12,"F",0,76
"2042","18C",12,"S",0,148
"2043","18C",13,"F",0,76
"2044","18C",13,"S",2,146
"2045","18C",14,"F",0,76
"2046","18C",14,"S",0,148
"2047","18C",15,"F",0,76
"2048","18C",15,"S",0,148
"2049","18C",16,"F",0,76
"2050","18C",16,"S",0,148
"2051","18C",17,"F",0,76
"2052","18C",17,"S",0,148
"2053","18C",18,"F",0,76
"2054","18C",18,"S",1,147
"2055","18C",19,"F",0,76
"2056","18C",19,"S",0,148
"2057","18C",20,"F",0,76
"2058","18C",20,"S",0,148
"2059","18C",21,"F",0,76
"2060","18C",21,"S",0,148
"2061","18C",22,"F",0,76
"2062","18C",22,"S",0,148
"2063","18C",23,"F",0,76
"2064","18C",23,"S",0,148
"2065","18D",0,"F",0,92
"2066","18D",0,"S",0,152
"2067","18D",1,"F",0,92
"2068","18D",1,"S",0,152
"2069","18D",2,"F",0,92
"2070","18D",2,"S",0,152
"2071","18D",3,"F",0,92
"2072","18D",3,"S",0,152
"2073","18D",4,"F",0,92
"2074","18D",4,"S",0,152
"2075","18D",5,"F",0,92
"2076","18D",5,"S",0,152
"2077","18D",6,"F",0,92
"2078","18D",6,"S",1,151
"2079","18D",7,"F",0,92
"2080","18D",7,"S",0,152
"2081","18D",8,"F",0,92
"2082","18D",8,"S",0,152
"2083","18D",9,"F",0,92
"2084","18D",9,"S",0,152
"2085","18D",10,"F",0,92
"2086","18D",10,"S",0,152
"2087","18D",11,"F",0,92
"2088","18D",11,"S",0,152
"2089","18D",12,"F",0,92
"2090","18D",12,"S",0,152
"2091","18D",13,"F",0,92
"2092","18D",13,"S",0,152
"2093","18D",14,"F",0,92
"2094","18D",14,"S",0,152
"2095","18D",15,"F",0,92
"2096","18D",15,"S",0,152
"2097","18D",16,"F",0,92
"2098","18D",16,"S",0,152
"2099","18D",17,"F",0,92
"2100","18D",17,"S",1,151
"2101","18D",18,"F",0,92
"2102","18D",18,"S",0,152
"2103","18D",19,"F",0,92
"2104","18D",19,"S",1,151
"2105","18D",20,"F",0,92
"2106","18D",20,"S",0,152
"2107","18D",21,"F",0,92
"2108","18D",21,"S",1,151
"2109","18D",22,"F",0,92
"2110","18D",22,"S",0,152
"2111","18D",23,"F",0,92
"2112","18D",23,"S",0,152
"2113","18E",0,"F",0,85
"2114","18E",0,"S",0,160
"2115","18E",1,"F",0,85
"2116","18E",1,"S",0,160
"2117","18E",2,"F",0,85
"2118","18E",2,"S",0,160
"2119","18E",3,"F",0,85
"2120","18E",3,"S",0,160
"2121","18E",4,"F",0,85
"2122","18E",4,"S",0,160
"2123","18E",5,"F",0,85
"2124","18E",5,"S",0,160
"2125","18E",6,"F",0,85
"2126","18E",6,"S",0,160
"2127","18E",7,"F",0,85
"2128","18E",7,"S",0,160
"2129","18E",8,"F",0,85
"2130","18E",8,"S",0,160
"2131","18E",9,"F",0,85
"2132","18E",9,"S",0,160
"2133","18E",10,"F",0,85
"2134","18E",10,"S",0,160
"2135","18E",11,"F",0,85
"2136","18E",11,"S",0,160
"2137","18E",12,"F",0,85
"2138","18E",12,"S",1,159
"2139","18E",13,"F",0,85
"2140","18E",13,"S",0,160
"2141","18E",14,"F",0,85
"2142","18E",14,"S",0,160
"2143","18E",15,"F",0,85
"2144","18E",15,"S",0,160
"2145","18E",16,"F",0,85
"2146","18E",16,"S",0,160
"2147","18E",17,"F",0,85
"2148","18E",17,"S",0,160
"2149","18E",18,"F",0,85
"2150","18E",18,"S",0,160
"2151","18E",19,"F",0,85
"2152","18E",19,"S",0,160
"2153","18E",20,"F",0,85
"2154","18E",20,"S",0,160
"2155","18E",21,"F",0,85
"2156","18E",21,"S",1,159
"2157","18E",22,"F",0,85
"2158","18E",22,"S",0,160
"2159","18E",23,"F",0,85
"2160","18E",23,"S",0,160
"2161","19A",0,"F",0,92
"2162","19A",0,"S",0,156
"2163","19A",1,"F",1,91
"2164","19A",1,"S",0,156
"2165","19A",2,"F",0,92
"2166","19A",2,"S",0,156
"2167","19A",3,"F",1,91
"2168","19A",3,"S",0,156
"2169","19A",4,"F",1,91
"2170","19A",4,"S",0,156
"2171","19A",5,"F",0,92
"2172","19A",5,"S",0,156
"2173","19A",6,"F",0,92
"2174","19A",6,"S",1,155
"2175","19A",7,"F",0,92
"2176","19A",7,"S",1,155
"2177","19A",8,"F",0,92
"2178","19A",8,"S",2,154
"2179","19A",9,"F",0,92
"2180","19A",9,"S",0,156
"2181","19A",10,"F",0,92
"2182","19A",10,"S",0,156
"2183","19A",11,"F",0,92
"2184","19A",11,"S",0,156
"2185","19A",12,"F",0,92
"2186","19A",12,"S",0,156
"2187","19A",13,"F",0,92
"2188","19A",13,"S",0,156
"2189","19A",14,"F",0,92
"2190","19A",14,"S",1,155
"2191","19A",15,"F",0,92
"2192","19A",15,"S",0,156
"2193","19A",16,"F",0,92
"2194","19A",16,"S",0,156
"2195","19A",17,"F",1,91
"2196","19A",17,"S",1,155
"2197","19A",18,"F",0,92
"2198","19A",18,"S",0,156
"2199","19A",19,"F",2,90
"2200","19A",19,"S",0,156
"2201","19A",20,"F",0,92
"2202","19A",20,"S",0,156
"2203","19A",21,"F",0,92
"2204","19A",21,"S",0,156
"2205","19A",22,"F",1,91
"2206","19A",22,"S",1,155
"2207","19A",23,"F",3,89
"2208","19A",23,"S",0,156
"2209","19B",0,"F",0,93
"2210","19B",0,"S",0,61
"2211","19B",1,"F",0,93
"2212","19B",1,"S",0,61
"2213","19B",2,"F",0,93
"2214","19B",2,"S",0,61
"2215","19B",3,"F",0,93
"2216","19B",3,"S",0,61
"2217","19B",4,"F",0,93
"2218","19B",4,"S",0,61
"2219","19B",5,"F",0,93
"2220","19B",5,"S",0,61
"2221","19B",6,"F",0,93
"2222","19B",6,"S",0,61
"2223","19B",7,"F",1,92
"2224","19B",7,"S",0,61
"2225","19B",8,"F",0,93
"2226","19B",8,"S",1,60
"2227","19B",9,"F",0,93
"2228","19B",9,"S",0,61
"2229","19B",10,"F",0,93
"2230","19B",10,"S",2,59
"2231","19B",11,"F",1,92
"2232","19B",11,"S",0,61
"2233","19B",12,"F",0,93
"2234","19B",12,"S",1,60
"2235","19B",13,"F",0,93
"2236","19B",13,"S",0,61
"2237","19B",14,"F",1,92
"2238","19B",14,"S",0,61
"2239","19B",15,"F",0,93
"2240","19B",15,"S",3,58
"2241","19B",16,"F",2,91
"2242","19B",16,"S",0,61
"2243","19B",17,"F",1,92
"2244","19B",17,"S",1,60
"2245","19B",18,"F",0,93
"2246","19B",18,"S",0,61
"2247","19B",19,"F",0,93
"2248","19B",19,"S",0,61
"2249","19B",20,"F",1,92
"2250","19B",20,"S",1,60
"2251","19B",21,"F",0,93
"2252","19B",21,"S",0,61
"2253","19B",22,"F",0,93
"2254","19B",22,"S",2,59
"2255","19B",23,"F",0,93
"2256","19B",23,"S",0,61
"2257","19C",0,"F",0,92
"2258","19C",0,"S",0,154
"2259","19C",1,"F",0,92
"2260","19C",1,"S",0,154
"2261","19C",2,"F",0,92
"2262","19C",2,"S",0,154
"2263","19C",3,"F",0,92
"2264","19C",3,"S",0,154
"2265","19C",4,"F",0,92
"2266","19C",4,"S",0,154
"2267","19C",5,"F",0,92
"2268","19C",5,"S",0,154
"2269","19C",6,"F",0,92
"2270","19C",6,"S",0,154
"2271","19C",7,"F",0,92
"2272","19C",7,"S",0,154
"2273","19C",8,"F",0,92
"2274","19C",8,"S",0,154
"2275","19C",9,"F",0,92
"2276","19C",9,"S",0,154
"2277","19C",10,"F",0,92
"2278","19C",10,"S",0,154
"2279","19C",11,"F",0,92
"2280","19C",11,"S",0,154
"2281","19C",12,"F",0,92
"2282","19C",12,"S",0,154
"2283","19C",13,"F",0,92
"2284","19C",13,"S",0,154
"2285","19C",14,"F",0,92
"2286","19C",14,"S",0,154
"2287","19C",15,"F",0,92
"2288","19C",15,"S",0,154
"2289","19C",16,"F",0,92
"2290","19C",16,"S",0,154
"2291","19C",17,"F",1,91
"2292","19C",17,"S",0,154
"2293","19C",18,"F",0,92
"2294","19C",18,"S",0,154
"2295","19C",19,"F",0,92
"2296","19C",19,"S",0,154
"2297","19C",20,"F",0,92
"2298","19C",20,"S",0,154
"2299","19C",21,"F",0,92
"2300","19C",21,"S",0,154
"2301","19C",22,"F",0,92
"2302","19C",22,"S",0,154
"2303","19C",23,"F",0,92
"2304","19C",23,"S",0,154
"2305","19D",0,"F",0,91
"2306","19D",0,"S",0,154
"2307","19D",1,"F",0,91
"2308","19D",1,"S",0,154
"2309","19D",2,"F",0,91
"2310","19D",2,"S",0,154
"2311","19D",3,"F",0,91
"2312","19D",3,"S",0,154
"2313","19D",4,"F",0,91
"2314","19D",4,"S",0,154
"2315","19D",5,"F",0,91
"2316","19D",5,"S",2,152
"2317","19D",6,"F",0,91
"2318","19D",6,"S",1,153
"2319","19D",7,"F",0,91
"2320","19D",7,"S",0,154
"2321","19D",8,"F",0,91
"2322","19D",8,"S",2,152
"2323","19D",9,"F",0,91
"2324","19D",9,"S",1,153
"2325","19D",10,"F",0,91
"2326","19D",10,"S",1,153
"2327","19D",11,"F",0,91
"2328","19D",11,"S",0,154
"2329","19D",12,"F",0,91
"2330","19D",12,"S",2,152
"2331","19D",13,"F",0,91
"2332","19D",13,"S",0,154
"2333","19D",14,"F",0,91
"2334","19D",14,"S",0,154
"2335","19D",15,"F",0,91
"2336","19D",15,"S",0,154
"2337","19D",16,"F",1,90
"2338","19D",16,"S",1,153
"2339","19D",17,"F",0,91
"2340","19D",17,"S",1,153
"2341","19D",18,"F",0,91
"2342","19D",18,"S",0,154
"2343","19D",19,"F",0,91
"2344","19D",19,"S",1,153
"2345","19D",20,"F",2,89
"2346","19D",20,"S",0,154
"2347","19D",21,"F",1,90
"2348","19D",21,"S",1,153
"2349","19D",22,"F",0,91
"2350","19D",22,"S",1,153
"2351","19D",23,"F",0,91
"2352","19D",23,"S",0,154
"2353","19E",0,"F",0,93
"2354","19E",0,"S",0,119
"2355","19E",1,"F",0,93
"2356","19E",1,"S",0,119
"2357","19E",2,"F",0,93
"2358","19E",2,"S",0,119
"2359","19E",3,"F",0,93
"2360","19E",3,"S",0,119
"2361","19E",4,"F",0,93
"2362","19E",4,"S",1,118
"2363","19E",5,"F",0,93
"2364","19E",5,"S",0,119
"2365","19E",6,"F",0,93
"2366","19E",6,"S",0,119
"2367","19E",7,"F",0,93
"2368","19E",7,"S",0,119
"2369","19E",8,"F",0,93
"2370","19E",8,"S",0,119
"2371","19E",9,"F",0,93
"2372","19E",9,"S",0,119
"2373","19E",10,"F",0,93
"2374","19E",10,"S",0,119
"2375","19E",11,"F",0,93
"2376","19E",11,"S",0,119
"2377","19E",12,"F",0,93
"2378","19E",12,"S",0,119
"2379","19E",13,"F",0,93
"2380","19E",13,"S",0,119
"2381","19E",14,"F",0,93
"2382","19E",14,"S",0,119
"2383","19E",15,"F",0,93
"2384","19E",15,"S",0,119
"2385","19E",16,"F",0,93
"2386","19E",16,"S",0,119
"2387","19E",17,"F",0,93
"2388","19E",17,"S",0,119
"2389","19E",18,"F",0,93
"2390","19E",18,"S",0,119
"2391","19E",19,"F",0,93
"2392","19E",19,"S",1,118
"2393","19E",20,"F",0,93
"2394","19E",20,"S",1,118
"2395","19E",21,"F",0,93
"2396","19E",21,"S",0,119
"2397","19E",22,"F",0,93
"2398","19E",22,"S",0,119
"2399","19E",23,"F",1,92
"2400","19E",23,"S",0,119
"2401","1A",0,"F",0,51
"2402","1A",0,"S",0,150
"2403","1A",1,"F",0,51
"2404","1A",1,"S",0,150
"2405","1A",2,"F",1,50
"2406","1A",2,"S",0,150
"2407","1A",3,"F",0,51
"2408","1A",3,"S",0,150
"2409","1A",4,"F",0,51
"2410","1A",4,"S",0,150
"2411","1A",5,"F",0,51
"2412","1A",5,"S",1,149
"2413","1A",6,"F",0,51
"2414","1A",6,"S",0,150
"2415","1A",7,"F",1,50
"2416","1A",7,"S",3,147
"2417","1A",8,"F",0,51
"2418","1A",8,"S",0,150
"2419","1A",9,"F",0,51
"2420","1A",9,"S",0,150
"2421","1A",10,"F",0,51
"2422","1A",10,"S",0,150
"2423","1A",11,"F",0,51
"2424","1A",11,"S",0,150
"2425","1A",12,"F",0,51
"2426","1A",12,"S",0,150
"2427","1A",13,"F",0,51
"2428","1A",13,"S",0,150
"2429","1A",14,"F",0,51
"2430","1A",14,"S",0,150
"2431","1A",15,"F",0,51
"2432","1A",15,"S",1,149
"2433","1A",16,"F",0,51
"2434","1A",16,"S",1,149
"2435","1A",17,"F",0,51
"2436","1A",17,"S",0,150
"2437","1A",18,"F",0,51
"2438","1A",18,"S",0,150
"2439","1A",19,"F",0,51
"2440","1A",19,"S",1,149
"2441","1A",20,"F",0,51
"2442","1A",20,"S",1,149
"2443","1A",21,"F",0,51
"2444","1A",21,"S",0,150
"2445","1A",22,"F",0,51
"2446","1A",22,"S",0,150
"2447","1A",23,"F",0,51
"2448","1A",23,"S",0,150
"2449","1B",0,"F",0,101
"2450","1B",0,"S",0,114
"2451","1B",1,"F",0,101
"2452","1B",1,"S",0,114
"2453","1B",2,"F",0,101
"2454","1B",2,"S",0,114
"2455","1B",3,"F",0,101
"2456","1B",3,"S",0,114
"2457","1B",4,"F",0,101
"2458","1B",4,"S",0,114
"2459","1B",5,"F",0,101
"2460","1B",5,"S",0,114
"2461","1B",6,"F",0,101
"2462","1B",6,"S",0,114
"2463","1B",7,"F",0,101
"2464","1B",7,"S",0,114
"2465","1B",8,"F",0,101
"2466","1B",8,"S",0,114
"2467","1B",9,"F",0,101
"2468","1B",9,"S",1,113
"2469","1B",10,"F",0,101
"2470","1B",10,"S",0,114
"2471","1B",11,"F",0,101
"2472","1B",11,"S",0,114
"2473","1B",12,"F",0,101
"2474","1B",12,"S",0,114
"2475","1B",13,"F",0,101
"2476","1B",13,"S",0,114
"2477","1B",14,"F",0,101
"2478","1B",14,"S",0,114
"2479","1B",15,"F",0,101
"2480","1B",15,"S",0,114
"2481","1B",16,"F",0,101
"2482","1B",16,"S",0,114
"2483","1B",17,"F",0,101
"2484","1B",17,"S",0,114
"2485","1B",18,"F",0,101
"2486","1B",18,"S",0,114
"2487","1B",19,"F",1,100
"2488","1B",19,"S",0,114
"2489","1B",20,"F",0,101
"2490","1B",20,"S",1,113
"2491","1B",21,"F",0,101
"2492","1B",21,"S",0,114
"2493","1B",22,"F",0,101
"2494","1B",22,"S",0,114
"2495","1B",23,"F",0,101
"2496","1B",23,"S",0,114
"2497","1C",0,"F",0,100
"2498","1C",0,"S",0,181
"2499","1C",1,"F",0,100
"2500","1C",1,"S",0,181
"2501","1C",2,"F",0,100
"2502","1C",2,"S",0,181
"2503","1C",3,"F",0,100
"2504","1C",3,"S",0,181
"2505","1C",4,"F",0,100
"2506","1C",4,"S",0,181
"2507","1C",5,"F",0,100
"2508","1C",5,"S",0,181
"2509","1C",6,"F",0,100
"2510","1C",6,"S",0,181
"2511","1C",7,"F",0,100
"2512","1C",7,"S",0,181
"2513","1C",8,"F",0,100
"2514","1C",8,"S",0,181
"2515","1C",9,"F",0,100
"2516","1C",9,"S",0,181
"2517","1C",10,"F",0,100
"2518","1C",10,"S",0,181
"2519","1C",11,"F",0,100
"2520","1C",11,"S",0,181
"2521","1C",12,"F",0,100
"2522","1C",12,"S",0,181
"2523","1C",13,"F",0,100
"2524","1C",13,"S",0,181
"2525","1C",14,"F",0,100
"2526","1C",14,"S",0,181
"2527","1C",15,"F",0,100
"2528","1C",15,"S",0,181
"2529","1C",16,"F",0,100
"2530","1C",16,"S",0,181
"2531","1C",17,"F",0,100
"2532","1C",17,"S",0,181
"2533","1C",18,"F",0,100
"2534","1C",18,"S",0,181
"2535","1C",19,"F",0,100
"2536","1C",19,"S",0,181
"2537","1C",20,"F",0,100
"2538","1C",20,"S",0,181
"2539","1C",21,"F",0,100
"2540","1C",21,"S",0,181
"2541","1C",22,"F",0,100
"2542","1C",22,"S",0,181
"2543","1C",23,"F",0,100
"2544","1C",23,"S",0,181
"2545","1D",0,"F",0,57
"2546","1D",0,"S",0,162
"2547","1D",1,"F",0,57
"2548","1D",1,"S",0,162
"2549","1D",2,"F",0,57
"2550","1D",2,"S",0,162
"2551","1D",3,"F",0,57
"2552","1D",3,"S",0,162
"2553","1D",4,"F",0,57
"2554","1D",4,"S",0,162
"2555","1D",5,"F",0,57
"2556","1D",5,"S",0,162
"2557","1D",6,"F",0,57
"2558","1D",6,"S",1,161
"2559","1D",7,"F",0,57
"2560","1D",7,"S",1,161
"2561","1D",8,"F",0,57
"2562","1D",8,"S",0,162
"2563","1D",9,"F",0,57
"2564","1D",9,"S",2,160
"2565","1D",10,"F",0,57
"2566","1D",10,"S",1,161
"2567","1D",11,"F",0,57
"2568","1D",11,"S",0,162
"2569","1D",12,"F",0,57
"2570","1D",12,"S",1,161
"2571","1D",13,"F",0,57
"2572","1D",13,"S",0,162
"2573","1D",14,"F",0,57
"2574","1D",14,"S",0,162
"2575","1D",15,"F",0,57
"2576","1D",15,"S",0,162
"2577","1D",16,"F",0,57
"2578","1D",16,"S",0,162
"2579","1D",17,"F",0,57
"2580","1D",17,"S",0,162
"2581","1D",18,"F",0,57
"2582","1D",18,"S",0,162
"2583","1D",19,"F",0,57
"2584","1D",19,"S",2,160
"2585","1D",20,"F",0,57
"2586","1D",20,"S",1,161
"2587","1D",21,"F",0,57
"2588","1D",21,"S",0,162
"2589","1D",22,"F",0,57
"2590","1D",22,"S",1,161
"2591","1D",23,"F",0,57
"2592","1D",23,"S",0,162
"2593","1E",0,"F",0,101
"2594","1E",0,"S",0,162
"2595","1E",1,"F",0,101
"2596","1E",1,"S",1,161
"2597","1E",2,"F",0,101
"2598","1E",2,"S",0,162
"2599","1E",3,"F",0,101
"2600","1E",3,"S",0,162
"2601","1E",4,"F",0,101
"2602","1E",4,"S",0,162
"2603","1E",5,"F",0,101
"2604","1E",5,"S",0,162
"2605","1E",6,"F",0,101
"2606","1E",6,"S",1,161
"2607","1E",7,"F",0,101
"2608","1E",7,"S",0,162
"2609","1E",8,"F",0,101
"2610","1E",8,"S",0,162
"2611","1E",9,"F",0,101
"2612","1E",9,"S",0,162
"2613","1E",10,"F",0,101
"2614","1E",10,"S",1,161
"2615","1E",11,"F",0,101
"2616","1E",11,"S",1,161
"2617","1E",12,"F",0,101
"2618","1E",12,"S",0,162
"2619","1E",13,"F",0,101
"2620","1E",13,"S",0,162
"2621","1E",14,"F",0,101
"2622","1E",14,"S",0,162
"2623","1E",15,"F",0,101
"2624","1E",15,"S",0,162
"2625","1E",16,"F",0,101
"2626","1E",16,"S",0,162
"2627","1E",17,"F",0,101
"2628","1E",17,"S",0,162
"2629","1E",18,"F",0,101
"2630","1E",18,"S",0,162
"2631","1E",19,"F",0,101
"2632","1E",19,"S",0,162
"2633","1E",20,"F",0,101
"2634","1E",20,"S",0,162
"2635","1E",21,"F",0,101
"2636","1E",21,"S",0,162
"2637","1E",22,"F",0,101
"2638","1E",22,"S",1,161
"2639","1E",23,"F",0,101
"2640","1E",23,"S",1,161
"2641","20A",0,"F",0,93
"2642","20A",0,"S",0,157
"2643","20A",1,"F",0,93
"2644","20A",1,"S",0,157
"2645","20A",2,"F",0,93
"2646","20A",2,"S",0,157
"2647","20A",3,"F",0,93
"2648","20A",3,"S",0,157
"2649","20A",4,"F",0,93
"2650","20A",4,"S",1,156
"2651","20A",5,"F",0,93
"2652","20A",5,"S",2,155
"2653","20A",6,"F",0,93
"2654","20A",6,"S",0,157
"2655","20A",7,"F",0,93
"2656","20A",7,"S",3,154
"2657","20A",8,"F",0,93
"2658","20A",8,"S",1,156
"2659","20A",9,"F",0,93
"2660","20A",9,"S",1,156
"2661","20A",10,"F",0,93
"2662","20A",10,"S",1,156
"2663","20A",11,"F",0,93
"2664","20A",11,"S",1,156
"2665","20A",12,"F",0,93
"2666","20A",12,"S",1,156
"2667","20A",13,"F",0,93
"2668","20A",13,"S",0,157
"2669","20A",14,"F",0,93
"2670","20A",14,"S",0,157
"2671","20A",15,"F",2,91
"2672","20A",15,"S",0,157
"2673","20A",16,"F",0,93
"2674","20A",16,"S",0,157
"2675","20A",17,"F",0,93
"2676","20A",17,"S",2,155
"2677","20A",18,"F",0,93
"2678","20A",18,"S",2,155
"2679","20A",19,"F",1,92
