"","Site","Time","Season","success","failure"
"529","12B",0,"F",0,95
"530","12B",0,"S",0,160
"531","12B",1,"F",0,95
"532","12B",1,"S",0,160
"533","12B",2,"F",0,95
"534","12B",2,"S",0,160
"535","12B",3,"F",0,95
"536","12B",3,"S",0,160
"537","12B",4,"F",0,95
"538","12B",4,"S",0,160
"539","12B",5,"F",0,95
"540","12B",5,"S",0,160
"541","12B",6,"F",0,95
"542","12B",6,"S",3,157
"543","12B",7,"F",0,95
"544","12B",7,"S",1,159
"545","12B",8,"F",0,95
"546","12B",8,"S",0,160
"547","12B",9,"F",0,95
"548","12B",9,"S",0,160
"549","12B",10,"F",0,95
"550","12B",10,"S",1,159
"551","12B",11,"F",0,95
"552","12B",11,"S",0,160
"553","12B",12,"F",0,95
"554","12B",12,"S",0,160
"555","12B",13,"F",0,95
"556","12B",13,"S",1,159
"557","12B",14,"F",0,95
"558","12B",14,"S",1,159
"559","12B",15,"F",0,95
"560","12B",15,"S",0,160
"561","12B",16,"F",0,95
"562","12B",16,"S",0,160
"563","12B",17,"F",0,95
"564","12B",17,"S",0,160
"565","12B",18,"F",0,95
"566","12B",18,"S",2,158
"567","12B",19,"F",0,95
"568","12B",19,"S",0,160
"569","12B",20,"F",0,95
"570","12B",20,"S",0,160
"571","12B",21,"F",0,95
"572","12B",21,"S",1,159
"573","12B",22,"F",0,95
"574","12B",22,"S",0,160
"575","12B",23,"F",0,95
"576","12B",23,"S",0,160
"577","12C",0,"F",0,103
"578","12C",0,"S",0,165
"579","12C",1,"F",0,103
"580","12C",1,"S",0,165
"581","12C",2,"F",0,103
"582","12C",2,"S",0,165
"583","12C",3,"F",0,103
"584","12C",3,"S",0,165
"585","12C",4,"F",0,103
"586","12C",4,"S",0,165
"587","12C",5,"F",0,103
"588","12C",5,"S",1,164
"589","12C",6,"F",0,103
"590","12C",6,"S",2,163
"591","12C",7,"F",0,103
"592","12C",7,"S",1,164
"593","12C",8,"F",0,103
"594","12C",8,"S",0,165
"595","12C",9,"F",0,103
"596","12C",9,"S",1,164
"597","12C",10,"F",0,103
"598","12C",10,"S",0,165
"599","12C",11,"F",0,103
"600","12C",11,"S",0,165
"601","12C",12,"F",0,103
"602","12C",12,"S",0,165
"603","12C",13,"F",0,103
"604","12C",13,"S",0,165
"605","12C",14,"F",0,103
"606","12C",14,"S",0,165
"607","12C",15,"F",0,103
"608","12C",15,"S",0,165
"609","12C",16,"F",0,103
"610","12C",16,"S",0,165
"611","12C",17,"F",0,103
"612","12C",17,"S",0,165
"613","12C",18,"F",0,103
"614","12C",18,"S",0,165
"615","12C",19,"F",0,103
"616","12C",19,"S",1,164
"617","12C",20,"F",0,103
"618","12C",20,"S",1,164
"619","12C",21,"F",0,103
"620","12C",21,"S",0,165
"621","12C",22,"F",0,103
"622","12C",22,"S",0,165
"623","12C",23,"F",1,102
"624","12C",23,"S",0,165
"625","12D",0,"F",0,101
"626","12D",0,"S",0,157
"627","12D",1,"F",0,101
"628","12D",1,"S",0,157
"629","12D",2,"F",0,101
"630","12D",2,"S",0,157
"631","12D",3,"F",0,101
"632","12D",3,"S",0,157
"633","12D",4,"F",0,101
"634","12D",4,"S",0,157
"635","12D",5,"F",1,100
"636","12D",5,"S",1,156
"637","12D",6,"F",0,101
"638","12D",6,"S",0,157
"639","12D",7,"F",0,101
"640","12D",7,"S",1,156
"641","12D",8,"F",0,101
"642","12D",8,"S",0,157
"643","12D",9,"F",1,100
"644","12D",9,"S",0,157
"645","12D",10,"F",0,101
"646","12D",10,"S",0,157
"647","12D",11,"F",0,101
"648","12D",11,"S",0,157
"649","12D",12,"F",0,101
"650","12D",12,"S",0,157
"651","12D",13,"F",0,101
"652","12D",13,"S",0,157
"653","12D",14,"F",0,101
"654","12D",14,"S",0,157
"655","12D",15,"F",0,101
"656","12D",15,"S",0,157
"657","12D",16,"F",0,101
"658","12D",16,"S",0,157
"659","12D",17,"F",0,101
"660","12D",17,"S",0,157
"661","12D",18,"F",1,100
"662","12D",18,"S",0,157
"663","12D",19,"F",2,99
"664","12D",19,"S",0,157
"665","12D",20,"F",0,101
"666","12D",20,"S",1,156
"667","12D",21,"F",0,101
"668","12D",21,"S",0,157
"669","12D",22,"F",1,100
"670","12D",22,"S",1,156
"671","12D",23,"F",0,101
"672","12D",23,"S",0,157
"673","12E",0,"F",0,94
"674","12E",0,"S",0,156
"675","12E",1,"F",0,94
"676","12E",1,"S",0,156
"677","12E",2,"F",0,94
"678","12E",2,"S",0,156
"679","12E",3,"F",0,94
"680","12E",3,"S",0,156
"681","12E",4,"F",0,94
"682","12E",4,"S",0,156
"683","12E",5,"F",0,94
"684","12E",5,"S",0,156
"685","12E",6,"F",0,94
"686","12E",6,"S",0,156
"687","12E",7,"F",0,94
"688","12E",7,"S",0,156
"689","12E",8,"F",0,94
"690","12E",8,"S",0,156
"691","12E",9,"F",0,94
"692","12E",9,"S",0,156
"693","12E",10,"F",0,94
"694","12E",10,"S",0,156
"695","12E",11,"F",0,94
"696","12E",11,"S",0,156
"697","12E",12,"F",0,94
"698","12E",12,"S",0,156
"699","12E",13,"F",0,94
"700","12E",13,"S",0,156
"701","12E",14,"F",0,94
"702","12E",14,"S",0,156
"703","12E",15,"F",0,94
"704","12E",15,"S",0,156
"705","12E",16,"F",0,94
"706","12E",16,"S",0,156
"707","12E",17,"F",0,94
"708","12E",17,"S",0,156
"709","12E",18,"F",0,94
"710","12E",18,"S",0,156
"711","12E",19,"F",0,94
"712","12E",19,"S",0,156
"713","12E",20,"F",0,94
"714","12E",20,"S",0,156
"715","12E",21,"F",0,94
"716","12E",21,"S",0,156
"717","12E",22,"F",0,94
"718","12E",22,"S",0,156
"719","12E",23,"F",0,94
"720","12E",23,"S",0,156
"721","13A",0,"F",0,96
"722","13A",0,"S",0,86
"723","13A",1,"F",0,96
"724","13A",1,"S",0,86
"725","13A",2,"F",0,96
"726","13A",2,"S",0,86
"727","13A",3,"F",0,96
"728","13A",3,"S",0,86
"729","13A",4,"F",0,96
"730","13A",4,"S",1,85
"731","13A",5,"F",0,96
"732","13A",5,"S",1,85
"733","13A",6,"F",0,96
"734","13A",6,"S",0,86
"735","13A",7,"F",0,96
"736","13A",7,"S",1,85
"737","13A",8,"F",0,96
"738","13A",8,"S",0,86
"739","13A",9,"F",0,96
"740","13A",9,"S",0,86
"741","13A",10,"F",0,96
"742","13A",10,"S",1,85
"743","13A",11,"F",0,96
"744","13A",11,"S",0,86
"745","13A",12,"F",0,96
"746","13A",12,"S",0,86
"747","13A",13,"F",0,96
"748","13A",13,"S",0,86
"749","13A",14,"F",0,96
"750","13A",14,"S",0,86
"751","13A",15,"F",0,96
"752","13A",15,"S",0,86
"753","13A",16,"F",0,96
"754","13A",16,"S",0,86
"755","13A",17,"F",0,96
"756","13A",17,"S",2,84
"757","13A",18,"F",0,96
"758","13A",18,"S",0,86
"759","13A",19,"F",0,96
"760","13A",19,"S",0,86
"761","13A",20,"F",0,96
"762","13A",20,"S",0,86
"763","13A",21,"F",0,96
"764","13A",21,"S",2,84
"765","13A",22,"F",0,96
"766","13A",22,"S",0,86
"767","13A",23,"F",1,95
"768","13A",23,"S",0,86
"769","13B",0,"F",0,92
"770","13B",0,"S",0,159
"771","13B",1,"F",0,92
"772","13B",1,"S",0,159
"773","13B",2,"F",0,92
"774","13B",2,"S",0,159
"775","13B",3,"F",0,92
"776","13B",3,"S",0,159
"777","13B",4,"F",0,92
"778","13B",4,"S",0,159
"779","13B",5,"F",0,92
"780","13B",5,"S",0,159
"781","13B",6,"F",0,92
"782","13B",6,"S",1,158
"783","13B",7,"F",0,92
"784","13B",7,"S",0,159
"785","13B",8,"F",0,92
"786","13B",8,"S",0,159
"787","13B",9,"F",0,92
"788","13B",9,"S",0,159
"789","13B",10,"F",0,92
"790","13B",10,"S",0,159
"791","13B",11,"F",0,92
"792","13B",11,"S",0,159
"793","13B",12,"F",0,92
"794","13B",12,"S",0,159
"795","13B",13,"F",0,92
"796","13B",13,"S",0,159
"797","13B",14,"F",0,92
"798","13B",14,"S",0,159
"799","13B",15,"F",0,92
"800","13B",15,"S",2,157
"801","13B",16,"F",0,92
"802","13B",16,"S",0,159
"803","13B",17,"F",0,92
"804","13B",17,"S",0,159
"805","13B",18,"F",0,92
"806","13B",18,"S",0,159
"807","13B",19,"F",0,92
"808","13B",19,"S",0,159
"809","13B",20,"F",0,92
"810","13B",20,"S",1,158
"811","13B",21,"F",0,92
"812","13B",21,"S",0,159
"813","13B",22,"F",0,92
"814","13B",22,"S",0,159
"815","13B",23,"F",0,92
"816","13B",23,"S",0,159
"817","13C",0,"F",0,101
"818","13C",0,"S",0,154
"819","13C",1,"F",0,101
"820","13C",1,"S",0,154
"821","13C",2,"F",0,101
"822","13C",2,"S",0,154
"823","13C",3,"F",0,101
"824","13C",3,"S",0,154
"825","13C",4,"F",0,101
"826","13C",4,"S",0,154
"827","13C",5,"F",0,101
"828","13C",5,"S",0,154
"829","13C",6,"F",0,101
"830","13C",6,"S",0,154
"831","13C",7,"F",0,101
"832","13C",7,"S",0,154
"833","13C",8,"F",0,101
"834","13C",8,"S",0,154
"835","13C",9,"F",0,101
"836","13C",9,"S",0,154
"837","13C",10,"F",0,101
"838","13C",10,"S",0,154
"839","13C",11,"F",0,101
"840","13C",11,"S",0,154
"841","13C",12,"F",0,101
"842","13C",12,"S",0,154
"843","13C",13,"F",0,101
"844","13C",13,"S",0,154
"845","13C",14,"F",0,101
"846","13C",14,"S",0,154
"847","13C",15,"F",0,101
"848","13C",15,"S",0,154
"849","13C",16,"F",0,101
"850","13C",16,"S",0,154
"851","13C",17,"F",0,101
"852","13C",17,"S",0,154
"853","13C",18,"F",1,100
"854","13C",18,"S",0,154
"855","13C",19,"F",0,101
"856","13C",19,"S",0,154
"857","13C",20,"F",0,101
"858","13C",20,"S",0,154
"859","13C",21,"F",0,101
"860","13C",21,"S",0,154
"861","13C",22,"F",0,101
"862","13C",22,"S",0,154
"863","13C",23,"F",0,101
"864","13C",23,"S",0,154
"865","13D",0,"F",0,92
"866","13D",0,"S",0,163
"867","13D",1,"F",0,92
"868","13D",1,"S",0,163
"869","13D",2,"F",0,92
"870","13D",2,"S",0,163
"871","13D",3,"F",0,92
